Название,Жанр,Картинка,Ссылка,Рейтинг
Гамильтон,биографический,https://www.kinonews.ru//insimgs/2021/poster/poster98070_4_p.jpg,https://www.kinonews.ru//movie_307842/hamilton,9.00
Похитители велосипедов,драма,https://www.kinonews.ru//insimgs/poster/poster16576_4_prev.jpg,https://www.kinonews.ru//movie_65393/ladri-di-biciclette,8.20
Таксист,драма,https://www.kinonews.ru//insimgs/poster/poster4279_4_prev.jpg,https://www.kinonews.ru//movie_1646/taxi-driver,8.47
Бункер,биографический,https://www.kinonews.ru//insimgs/poster/poster33893_3_p.jpg,https://www.kinonews.ru//movie_27106/der-untergang,8.16
Дангал,биографический,https://www.kinonews.ru//insimgs/2017/poster/poster76269_1_p.jpg,https://www.kinonews.ru//movie_260725/dangal,8.60
На несколько долларов больше,боевик,https://www.kinonews.ru//insimgs/poster/poster38060_3_p.jpg,https://www.kinonews.ru//movie_85886/for-a-few-dollars-more,8.84
Бэтмен: начало,боевик,https://www.kinonews.ru//insimgs/poster/poster3016_8_prev.jpg,https://www.kinonews.ru//movie_36/batman-begins,8.49
Волк с Уолл-стрит,биографический,https://www.kinonews.ru//insimgs/poster/poster39569_2_p.jpg,https://www.kinonews.ru//movie_104682/the-wolf-of-wall-street,8.26
В джазе только девушки,комедия,https://www.kinonews.ru//insimgs/poster/poster3537_3_prev.jpg,https://www.kinonews.ru//movie_28299/some-like-it-hot,8.73
Зеленая книга,биографический,https://www.kinonews.ru//insimgs/2018/poster/poster81832_1_p.jpg,https://www.kinonews.ru//movie_268071/green-book,8.39
Малыш,драма,https://www.kinonews.ru//insimgs/2015/poster/poster58686_3_p.jpg,https://www.kinonews.ru//movie_85884/the-kid,8.67
Отец,драма,https://www.kinonews.ru//insimgs/2020/poster/poster93414_1_p.jpg,https://www.kinonews.ru//movie_280473/the-father,8.19
Нюрнбергский процесс,биографический,https://www.kinonews.ru//insimgs/poster/poster15454_3_prev.jpg,https://www.kinonews.ru//movie_61076/judgment-at-nuremberg,8.00
Шоу Трумана,драма,https://www.kinonews.ru//insimgs/poster/poster5944_2_prev.jpg,https://www.kinonews.ru//movie_1259/the-truman-show,8.77
Все о Еве,драма,https://www.kinonews.ru//insimgs/poster/poster10484_2_prev.jpg,https://www.kinonews.ru//movie_28317/all-about-eve,8.25
Топ Ган: Мэверик,боевик,https://www.kinonews.ru//insimgs/2022/poster/poster106090_1_p.jpg,https://www.kinonews.ru//movie_146617/top-gun-2,8.62
Остров проклятых,детектив,https://www.kinonews.ru//insimgs/poster/poster6017_1_prev.jpg,https://www.kinonews.ru//movie_1950/shutter-island,8.76
Нефть,драма,https://www.kinonews.ru//insimgs/poster/poster5868_7_prev.jpg,https://www.kinonews.ru//movie_10771/there-will-be-blood,8.35
Казино,драма,https://www.kinonews.ru//insimgs/poster/poster3314_2_prev.jpg,https://www.kinonews.ru//movie_1617/casino,8.81
Парк Юрского периода,боевик,https://www.kinonews.ru//insimgs/poster/poster29074_1_p.jpg,https://www.kinonews.ru//movie_947/jurassic-park,8.93
Ран,боевик,https://www.kinonews.ru//insimgs/poster/poster28540_4_p.jpg,https://www.kinonews.ru//movie_18827/ran,7.73
Шестое чувство,детектив,https://www.kinonews.ru//insimgs/poster/poster3357_2_prev.jpg,https://www.kinonews.ru//movie_1065/the-sixth-sense,8.52
